title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
So much better than Air India….,PeteD60,Goa - Bengaluru,"Flight at end of trip from GOI to BLR - had booked premium economy class seats but decided a couple of days beforehand to upgrade to business class – an indulgence but worth it.

No dedicated security line or lounge at GOI – not a problem - we sat close to the gate - boarded first - 8 seats in business class - only 3 of us - loaded efficiently - push back on time – offered orange juice and very small bottle of water - food order taken pre-take-off - A320 – 1A+C- no alcohol - Vistara world for inflight entertainment on offer

Despite only being a 50 minute there was a hot food service - ok as a hot snack with an included overly sweet dessert

This was a proper business class experience with large comfy seats with loads of legroom with dedicated cabin staff – with a separate premium economy section behind 

Hopefully this airline product will survive the merger into Tata/SIA Air India – it offers a much better business class service than we experienced more recently with Air India – the seats were better and newer and complete – the AI offer was very shabby in comparison to Vistara – thank you",Domestic,5.0,October 2024,1 November 2024,5.0,5.0,N/A,5.0,4.0,5.0,5.0,N/A
Laguage charged.,R Manoj Kumar,Chandigarh - Mumbai,"Vistara food and aeroplane interior is good. seats are good and service is also good, maintains time schedule.Faced issue with luggauge checkin at chandigarh airport. Small amount of additional laguage is charged of by vistara.Normaly other airlines waive off if weight is within 5% of allowed limit.",Domestic,4.0,September 2024,31 October 2024,3.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0
Avoid this airline!,OnAir08497352610,Frankfurt - Mumbai,"I had a very bad experience with both my flights from Frankfurt to Mumbai and return flight.
This concerns flight UK 28 on 17.10.2024 and flight UK 27 on 27.10.2024.
My first flight got cancelled and I was notified via SMS, so I called the number stated in the SMS - leading to an expensive call to India that was shortly ended by the service agent without providing any information. I then called the German customer care number and they were not informed about the cancellation and took serveral hours to rebook my flight! I got to fly 24h later, costing me a full day of my vacation and having to rearrange all my bookings which ended up creating additional costs.
My experience on my return flight was even worse: I was not able to web check-in, the website said to check-in at the airport counter. So I got to the airport with some extra time in advance, but they told me they are unable to check me in, there is some problem with my booking because I did not board my previous flight (which was Impossible - it was cancelled!) and that I have to call the hotline. They provided a number which I called to sort it out, it was a long call, the agent understood my problem and asked to be passed to an airport agent at the counter. I went to an available counter (different employee), quickly explained and handed her the phone. They briefly talked, she tried to do the check-in and hung up on the call. It did not work, she called more agents over, did not help, called some people, did not help. Asked me to call again the hotline she hung up on to have my ticket ""unblocked"", again, on my private phone incurring costs for me. I was asked to show my boarding pass for the flight on the 18.10.2024 (that I boarded instead of the original flight) which I provided. I was asked to wait aside where they can see me. A different Vistara agent approached me and asked me to follow her, she tried to escort me out of the Mumbai airport - which I protested and asked to talk to the other agents again. The agents at the counter straight up told me they can't do anything, I can't be boarding and tried to gaslight me into thinking that not booking with Vistara directly (but via booking.com) was the problem. I told them all changes to my cancelled flight were made by the customer care team in Germany and Not booking.com, so they had me wait again. They finally figured out how to enable boarding for me, 40 minutes before my (delayed) departure time. It took over 2h to be checked in, when the waittimes at the counters was negligeble. I respectfully asked if it was possible to be upgraded as I had a horrible experience and this caused me a lot of stress, they declined telling me they don't do free upgrades and the flight is fully booked. I was not offered any sort of apology for the stress and money lost, nor any compensation. I am deeply disappointed by how this was handled by the airline and I don't think I will consider flying with Vistara again and would advise other customers to chose a different airline.",International,5.0,October 2024,30 October 2024,1.0,1.0,4.0,1.0,2.0,4.0,1.0,5.0
Flight canceled just hours before departure - no reimbursement not compensation received,Laura V,Kathmandu - Paris,"Flight return back home was canceled just 6 hours before departure via sms  (text message) with no explanation and no proposed alternative.
I tried contacting customer service, and no one answers. I decide to book a flight with another company. Two weeks later, Vistara has not only NOT reimbursed the canceled flight (which they declare to do in 3-5 days on their website), but they also refuse to give any real compensation (max 100€ after insisting). In the end, I had to pay an extra 600€ to Qatar Airways to get back home.
It may seem like a good deal when booking, but as soon as there is the slightest problem, the flight will end up costing much more than more respected airline companies. Do not fall in the trap of attractive price.
Did I mention that the flight to Kathmandu was also delayed over 4 hours? They never proactively offered vouchers for food & drinks either! was a cheap company!",International,2.0,October 2024,30 October 2024,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
My 1st flight,Freedom63882754827,Mumbai - New Delhi,The vistara flight was really good safe and nice. It was safe. The food was good. I am 9 years old and it was my first flight with my mom. My name is Aarav Shetty.,Domestic,5.0,October 2024,25 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Worst Airline In The World,Dreamer06352934296,New Delhi - Genoa,"I have never experienced such a pathetic level of service as I did with Vistara Airlines. The lack of courtesy from the staff was shocking—no warmth, no professionalism. The ground staff seemed totally uninterested in being even slightly courteous.

Avoid this airline at all costs! For an airline that prides itself on luxury and service, Vistara fails miserably in every category. Never again.",International,1.0,October 2024,23 October 2024,N/A,N/A,N/A,1.0,1.0,N/A,1.0,N/A
Cancellation refund,Resort59691593727,Jaipur - Mumbai,"I booked my tickets for 15th October but there was a family emergency on 16th and I, being a student and coming from a middle class background panicked because there was less than 24 hours for my flight and even my flexi pass was not working.
I called vistara and they did not agree at all to Initiate atleast half refund even though I explained them my financial issues so much and that I am a student. They kept me on call for so long and just gave me a customer care number where I couldn't even reach. 

I was like, do you not have any rescue in such cases, atleast see the context of the case and then take care of it but they said, no ma'am, our manager is saying no for it. So I didn't get any voucher for my next ticket and I had to bear the loss.",Domestic,2.0,December 2023,23 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pathetic experience of checking in,Sharan,Mumbai - Udaipur,"Ground staff of vista airlines named PRATIKSHA SINGH , was extremely rude. I’ve never faced any bad experience with vistara airlines until today at 8 am on 23rd October 2024. There’s no need to yell at people who come for check in to you. Wished they were trained better.",Domestic,1.0,October 2024,22 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hi Yesterday I had a verry bad experience from this airline company called (vistara) my flight was at 8 10 pm I reported,Cruiser19913799500,Kochi (Cochin) - New Delhi,"Hi
Yesterday I had a verry bad experience from this airline company called (vistara) my flight was at 8 10 pm I reported at 6:30 pm they gave me bording pass also after 7:15 we went for the dinner. When we reched to the correct time back they said you cannot enter the flight because your the entry is closed we started telling that we didn't hear the announcement from there side. So the lady become so angry to us they was forcing to take the exit pass and go....... My loss was 14500 rupees because of this company",Domestic,1.0,October 2024,21 October 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UK 802 Bengaluru to Delhi Review,BunnyPunia,Bengaluru - New Delhi,"After a long day of shooting the 2024 Kia Carnival, took UK802 from Bangalore to Delhi. Unfortunately due to the on-going bomb hoax calls, our flight too was delayed. Thankfully I was staying at Taj, right opposite to the airport and hence had the reception area for waiting / killing time.

At the airport, ground staff was polite and mannered. Moments before boarding, our part of terminal's electricity went off and we again had to wait - questions were raised but the staff held on to professionalism. Had seat 11A (ahead of XL) and leg room was just about ok for a 6 feet tall person.

Pilot tried making up the time in air. Dinner was chicken biryani - good but the gravy with it was okish. Polite on-board staff. Quick deboarding and the walk to luggage area wasn't long.

Overall recommended. As for the 2024 Kia Carnival review, look me at on Instagram!",Domestic,3.0,October 2024,20 October 2024,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0
