title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Very Poor Indigo,Christopher W,Udaipur - New Delhi,"This was the first leg of a journey back to Kolkata via Delhi with Indigo.
When arriving in Udaipur we had heard that the incoming flight is invariably 1 t 2 hours late.  Our incoming flight was about 1.5 hours late and Indigo were clearly already expecting this as we had been unable to check in and get boarding cards online.
On arrival at the airport we learnt that while we would be departing of the scheduled flight but maybe 2 hours late we had been rebooked on a much later connecting flight from Delhi to Kolkata.  The seating we had been allocated randomly and the four of us were spread out (we had paid for allocated seats in advance). No words of apology.
The flight was otherwise ok but Indigo could and should be better than this.",Domestic,2.0,January 2025,6 February 2025,3.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0
Special thanks to aqub,miro inc,Abu Dhabi - Goa,"I had an amazing experience with the IndiGo Airlines team in Abu Dhabi. I was running late for my flight, but the team went above and beyond to assist me. A special thanks to Aqub and the team leader for their exceptional support and professionalism. They handled everything smoothly, ensuring I could complete the process on time. Their kindness and efficiency truly made a stressful situation much easier. Highly recommend IndiGo Airlines for their excellent customer service!",International,5.0,January 2025,4 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrible,Laxmikant R,Mumbai - Istanbul,"The worst international flight i had. The flight is very old, they served only breakfast for 8 hr flight and quality was poor. The airhostess are careless and ruthless. All of them chatting with each other at the rear end. Did not serve even water to passengers. You can't call attendant as buttons are disabled. The check in process was too slow, huge crowds at the boarding gate.Nothing was really acceptable.",International,1.0,February 2025,3 February 2025,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Damaged suitcase - Very bad customer service,Ajit C,Rajkot - Mumbai,"Urgent: Compensation for Damaged Suitcase PNR C86V6B 
Dear IndiGo Customer Relations Team,

This is our 7th email regarding the compensation for the damage to my suitcase, and I am extremely disappointed with the continuous delays in receiving the promised reimbursement.

Initially, we were informed that the payment would be credited to my account by January 15th, 2025. However, when I followed up on January 16th, I was told the payment would be processed within the next 48 hours. After waiting, I was then told the payment would be credited by January 29th, 2025. Despite multiple follow-ups since January 30th, I have still not received the compensation. On top of this, your customer service team is no longer responding to our emails. This situation has been extremely frustrating, and the lack of communication is deeply concerning.

This ongoing delay reflects poorly on IndiGo’s commitment to customer service. As a reputed airline, I expected better professionalism and quicker resolution of issues.

I respectfully request a final confirmation of the payment date and insist that the amount be credited to my account without further delay. If this matter is not resolved immediately, I will have no choice but to escalate this issue further.

I appreciate your urgent attention to this matter and look forward to your prompt response.

Sincerely,
Ajit Chudasama & Minal Chudasama",Domestic,1.0,December 2024,3 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
Refund of my cancellation,Sunshine13653165634,Bengaluru - Bagdogra,"I booked a direct flight from blr to bagdogra ,after 1 week u make flight 1 stops on kolkata then another day to Hyderabad ,so I cancelled my flight because of your reason on 30 jan 2025 .till now I didn't get my refund ,so I want my full refund 6001 rs otherwise I will file a complaint against yr airline indigo",Domestic,1.0,February 2025,2 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unethical airline,DayTrip68711394615,Bengaluru - Kolkata (Calcutta),"Take off time for this particular flight was 5:05pm. I was in the queue luggage drop for ‘atleast’ 2 hours. Despite my timely arrival, the staff insisted that I sign a tag agreeing to a delayed luggage from a different flight because the flight that I actually booked legally with full payments made upfront doesn’t have space for my luggage. On top of that they try to blame me for coming in late rather than questioning their own queue management. Making money is okay but causing inconvenience for the passengers who have the right to put up 15kgs just for the sake of few extra bucks from passengers with extra luggage makes no sense and is not ethical at all. It’s all about the experience and satisfaction vs the brand. Signs of impending downfall. Highly disappointed.",Domestic,1.0,February 2025,2 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luggage lost,Guide25241202410,New Delhi - Rajahmundry,"It is my worst experience with Indigo, not just me, but many of us got the luggage lost. It has been 48 hours and still not yet received my luggage.",Domestic,1.0,February 2025,2 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3 class Management and Airline,Cruiser50775808256,Chandigarh - Goa,"3 rd class airlines ,Reached at 3.20 pm got in to luggage line ,Indigo girl told me that I cannot get in Flight as baggages are already gone and I am late for boarding .My flight was at 4.10 Pm and I got 10 min late because of Row as indigo placed only to Girls on counter for So many people.I hv to pay 2500 extra per person for rescheduling my flight.",Domestic,1.0,January 2025,1 February 2025,2.0,2.0,1.0,1.0,1.0,3.0,1.0,N/A
Worst airlines,Nikhil k,Kozhikode - Dubai,One of the worst airlines i ever traveled. Don't recommend to anyone. Checking counter staffs are not cooperative and they are deciding the rules them self.,International,1.0,January 2025,1 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Great Service and Smooth Flight,Suvi R,New Delhi - Bodrum District,Excellent service provided by the in-flight crew. They did an excellent job in managing a very rude passenger and in providing all services.,International,4.0,December 2024,1 February 2025,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0
Money sucking airline,Maps37865899846,Mumbai - New Delhi,"Beautify this 

Indigo is a pathetic airlines who knows how to suck money from customers very well. I booked an international flight via virgin airlines and as indigo was their partner they provided mumbai to delhi flight via indigo. The baggage allowance for cabin bag is 10 kg for virgin airlines and for indigo it is 7 kg. As me and my wife were traveling together they asked us to dump the extra 6 kg or pay 20000 as this was the international cost for extra 6 kg to USA. I showed then virgin airlines international baggage allowance but then to they said we will follow the directives of indigo. I had to dump costly clothes which amounted to roughly same cost 20000. I had to dump them in trash .

Indigo is inconsiderate, inhuman airline. Please do not book tickets from Indigo.",Domestic,1.0,February 2025,1 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trap with bags..,Pat,Goa - Bengaluru,"Worst experience, let me travel from Chennai to Goa with same bags but from Gao back they want to charge me cost of flight for extra bag. This is subjective enforcement causing major pain. Start point have policy consistently applied and family can take extra weight at start. Midpoint they choose to apply policy and making customers pay for price of flight for extra bag is insane …",Domestic,1.0,January 2025,31 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small gesture to indigo team 😀,Safari44962177172,Kanpur - Hyderabad,"Dear IndiGo Team,

I wanted to take a moment to express my appreciation for the wonderful service I received during my recent flight pnr  G2M1MJ with IndiGo. The staff member saksham chauhan was very friendly, attentive, and professional, making my journey smooth and enjoyable. 

I truly value the level of service provided and will certainly continue to choose IndiGo for my future travels.

Thank you once again for a great experience!",Domestic,5.0,January 2025,31 January 2025,N/A,5.0,N/A,5.0,5.0,5.0,5.0,N/A
horrible service,Manpreet S,New Delhi - Birmingham,"horrible aircraft, bad service, plane need to be replaced, delayed 100%, very bad experience i had , and my relatives the same.",International,1.0,January 2025,31 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cancellation and delayed flights….,PeteD60,Bengaluru - Chennai (Madras),"We have used IndiGo many times during our recent trips to India and have seen them as better alternative to Air India – but IndiGo appears to be under pressure with the growing number domestic travellers. 

BLR-MAA – last Sunday in December – had just arrived from an overnight flight from Heathrow – boarding pass didn’t work at terminal entrance but still waved through – after a number of tries to check-in we found our direct flight had been cancelled – eventually we were re-routed to Chennai via Madurai – so we took 2 flights in an ATR 72-600  - seats small and hard - overhead bins took our carry-on bags – on both occasions bussed to the aircraft – and when we arrived ground staff were still off-loading the less mobile passengers -  then we boarded by seat number - front first – very efficient cabin crew - smallest washroom ever encountered  - both flights uneventful

IXM-GOI via BLR – Ending our holiday in Goa – we took 2 flights with Indigo – one from Madurai to Bangalore – delayed – ATR72 – same just in time loading – followed by another from Bangalore to Goa – being a Friday this A321 flight was full – our booking allowed us to board amongst first – able to get an overhead bin for carry-on baggage – again cabin crew efficient – on-time departure -uneventful flight

GOI-BLR – Thursday afternoon flight – slight delay – again allowed us to proceed to board but were held as the incoming flight emptied – amongst first on – no problems storing carry-on bags – had row to myself – a pleasant flight landing at Terminal 1",Domestic,4.0,December 2024,31 January 2025,3.0,3.0,N/A,4.0,3.0,4.0,4.0,N/A
"Above and beyond service provided by Indigo staff- Niranjan Ray and Hussain Guru, best, affordable in-flight Masala Tea",Yashika G,Hyderabad - Amritsar,"My experience of flying with indigo from Hyderabad to Amritsar was above and beyond! I was travelling with my parents who are senior citizens and our luggage was a bit overweight since I was travelling internationally with higher luggage weight limits, but the extremely helpful Indigo staff Niranjan Ray and Hussain Guru at the check-in counter empathized with my situation and helped us in accommodating our luggage hassle-free. I really appreciated their understanding of the circumstances and their commitment to provide best service to their customers. Our in-flight cabin crew was also very friendly and sweet to us. Overall, a very positive experience for me and my parents. And last thing I can’t tell you that they really serve extremely nice Tea and snacks in a very affordable price, my Mum loved it!",Domestic,5.0,January 2025,30 January 2025,5.0,4.0,N/A,5.0,5.0,5.0,5.0,5.0
bad experience of flying with Indigo,Trail757114,Istanbul - Mumbai,"the service was horrible, no food offered on international flight, I was asked to buy food. the food had some weird hairy stuff, I returned it and the they replaced it with new dish but it was same, could not eat it.",International,1.0,February 2024,30 January 2025,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
Horrible experience,Manju Sood,Goa - Chandigarh,We are senior citizens and because of our health problems we had spent extra money to buy priority seats but the girls at the boarding time told us to wait and we were allowed to board only in the end We had to go through a lot of harassment and humiliation. Girls had no idea and were very rude and indifferent to our problems and requests would not recommend this airline to anyone,Domestic,1.0,January 2025,30 January 2025,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
