title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
"At Spice Jet, the military term shines brightly - SNAFU: situation normal: all f**ked up.",Tong S,New Delhi - Belgaum,"SNAFU with Spice Jet:

At Spice Jet, the military term shines brightly - SNAFU: situation normal: all f**ked up.

Ticket was booked Jan 14th, later a boarding pass generated on their website.
On the day of flight 2/4, airline staff said that you canceled your check-in on 1/28?
I was forced to be bumped to the next flight by them doing me a favor as the one canceled my own flight though they issued a boarding pass to me already.
When I asked how that would be even possible, they flash a screen saying that a cancellation was made in 1:28, so their system records me as “ni Show”. That’s a week before this flight which is a short 1.5 hours flight.  A No Show for a flight a week later in order to sell my ticket.
I took a photo of their screen as what they were flashing me with made no sense.  I was sternly asked to delete the photo by multiple people at the gate.

What really happened: 
The flight was getting full near the end of January, they raised the price significantly, and canceled some tickets.  But there is notification and any compensation, just a fall blame on a full paying and diligent customer with ticket and boarding pass in hand.

There are several standing by holding more expensive tickets behind me who all got on the flights.  And more than 1 person confirmed that it is a full flight.

If there was any doubt about their scheme, what happened next eliminated all suspicion that it is an error, or negligence. It was deliberate.  They offered me another flight 7 hours later.  I had to accept it in order to travel. And the replacement ticket is already made!  There was a person on the phone with the boarding gate desk throughout the whole process. The moment they offered and I accepted a forced delay, the “ticket” in the form of a screenshot on the gate attendance’s mobile phone appeared.  They have all along prepared this option after their decision to over book and keep higher prices purchases and bump people off without refund or any perks or compensation.  I’d rather they are honest to ask me to pay extra and save the 7 hours wait; not to mention all the changes I have to make for the day.  Their attitudes and blaming on customers they deliberately cheated made the whole fiasco even more difficult.

At Spice Jet, the military term shines brightly - SNAFU: situation normal: all F**ked up.",Domestic,1.0,February 2025,3 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spicejet keep it up,Maps08773648706,Dubai - Mumbai,"The flight was punctual, which is always a relief when traveling. The cabin crew was incredibly professional, friendly, and attentive. They greeted passengers warmly and ensured everyone was comfortable throughout the journey. The seating was comfortable for a budget airline, and the aircraft was clean and well-maintained.",International,5.0,January 2025,1 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cushioned seats & more legroom,shaishav,Ahmedabad - Prayagraj,Flight was on time. There was very Spacious leg room. Seats were soft cushioned and big compared to other airlines  loved it,Domestic,5.0,February 2025,1 February 2025,5.0,5.0,1.0,4.0,5.0,5.0,5.0,N/A
Late and unorganized,Prachi K,Dubai - New Delhi,"Gates open 45 mins late no communication shared with the staff on the ground, forcefully weighing each bag on being late, worst was without explaining will even put your light cabin bags to luggage before boarding the bus there’s a dude with a luggage printer just forcing you to move to check in your luggage even on refusing he’s put the bag tag, then the flight is extremely late, no update in the flight. Do not recommend if you have connecting flights.",International,1.0,February 2025,31 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pathetic airlines SpiceJet,Nomad05564988518,Pune - New Delhi,"Super pathetic airlines,  i don't not recommended to choose this airlines anymore , don't have cutomer oriental policy, extra charging over the little bit extra luggage and every time flights has been reschedule without any reason , need to stop this airlines in India",Domestic,1.0,February 2025,31 January 2025,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
SpiceJet – The Absolute Worst Airline! Stay Away!,Priyanka S,New Delhi - Pune,"SpiceJet – The Absolute Worst Airline! Stay Away!

If I could give negative stars, I would. SpiceJet is by far the most pathetic excuse for an airline I have ever encountered. Their Delhi airport staff, especially the so-called “manager,” is unbelievably rude, uncooperative, and full of arrogance, acting like they’re paying us to fly instead of the other way around.

First, they randomly canceled my flight with some ridiculous excuse, causing unnecessary stress and inconvenience. To make matters worse, they didn’t even refund my money! No proper explanation, no customer support—just a blatant scam to rob passengers of their hard-earned money.

And if that wasn’t enough, when I finally booked another flight, I arrived just two minutes late for luggage check-in (with still a full hour before takeoff!), yet they flat-out refused to let me board. No empathy, no professionalism—just a bunch of rude staff enjoying making passengers suffer.

SpiceJet is the definition of a third-class airline. Their customer service is nonexistent, their management is a joke, and their attitude is disgusting. Do yourself a favor and NEVER book with them. They don’t deserve a single penny from anyone!",Domestic,1.0,December 2024,31 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hassle free experience,Departure14820542479,Ahmedabad - Prayagraj,Excellent service and very humble staff onboard. I booked my meal while booking ticket which was asked and served very nice and freshly,Domestic,5.0,January 2025,31 January 2025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Worst flight,Sightseer09689242445,Srinagar - New Delhi,Worst  ever experience with most of the flight always flight delays. Always flight delays always flight delays  always delays,Domestic,1.0,January 2025,30 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Excellent,OnAir21109171152,Ahmedabad - Prayagraj,Had a very good and comfortable journey and thanks to all the crew members for their genuine efforts to make this special.,Domestic,5.0,January 2025,29 January 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
Great flight 😄,Surabhi P,Pune - Ahmedabad,"Was traveling alone with an infant and staff was extra cooperative, had a smooth experience with baggage check in, boarding and baggage collection.",Domestic,5.0,January 2025,29 January 2025,5.0,4.0,N/A,3.0,4.0,5.0,5.0,N/A
