title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Don't waste your hard earned money,stuart R,London - Goa,"On boarding the plane on our outbound journey we were told that our seats had been repaired and was this mentioned at checkin. No it was not. The seats in business class did not recline let alone go flat although  we had been reassured the sets would recline, Most of the monitors don't work. The planes are old and tired and customer service is a joke. Business class lounge don't carry stock of basic items, like tonic water. Worst airline that I have flown with.
This was the outbound journey, the same again happened on the inbound service. At the checking desk in gox Airport,  we were immediately told that our seats again were inoperable and by the time we landed at Gatwick we would have received a 75% refund. This never happened. Air india customer service is a complete joke mainly operated by bots
Air india asked for information we had already supplied over 3 weeks ago but still no response",International,1.0,November 2024,9 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Great service, comfort and food.",harryzac,Frankfurt - Goa,"So many bad reviews made me very worried about my booking. However, the flights were brilliant. The service was excellent and the comfort second to none. The food was good and I’d definitely fly with them again. The only downside is the poor choice of movies. Surely they could do something about that.",International,5.0,January 2025,8 February 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
"Cheaters airindia, dont travel from airindia , ban airindia",Excursion12271773845,Mumbai - New Delhi,"We were CHEATED and treated with complete disrespect by @airindia! Our flight was scheduled for 1:30 PM, and we arrived at the airport at 12:30 PM sharp—just 2 minutes late. Despite having valid tickets and mobile boarding passes, we were told we couldn't board, with the false excuse that mobile boarding passes aren’t allowed.

The most appalling part? The airline gave away OUR SEATS to others—WITHOUT informing us—while we were already at the airport with confirmed tickets and valid boarding passes. **Before we even reached the gate, they allowed someone else to board on our tickets!** How is this fair? 

We were misled, treated rudely, and manipulated by the staff, including BALBHIM (in charge), and DM's DEVIS and SOHAM, who acted unprofessionally and did not offer any solution, despite multiple requests. It’s clear they overbooked the flight and prioritized double payments over passengers who had tickets in hand.

This is NOTHING BUT CHEATING, and we demand justice for the poor treatment we received. We expect strict action to be taken against the staff involved, and a full resolution to this issue. @airindia, this behavior is unacceptable! #AirIndia #CustomerServiceFail #UnfairTreatment #CheatedByAirIndia #FlightScam",Domestic,1.0,February 2025,8 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air India no empathy towards pregnant women,Sony Pandian,Mumbai - Coimbatore,"I am currently 26 weeks pregnant and had booked this flight from London, expecting at least a basic level of care and support. Unfortunately, I was met with complete indifference from your staff.

Despite personally requesting wheelchair assistance due to severe back pain and discomfort in my lower abdomen when walking or standing for extended periods, my request was denied. This lack of consideration forced me to endure unnecessary pain, as there was no effort to assist or prioritize me in the queue. Your staff simply watched as I struggled.

To make matters worse, during transit to the aircraft, I had no choice but to sit on the steps of the bus, as there was no proper seating available. The lack of empathy and professionalism displayed by your team is deeply disappointing. A pregnant woman, especially one experiencing health concerns, deserves respect and basic assistance.

I would strongly advise anyone who is pregnant or has health issues to avoid flying with Air India, given this appalling experience. I hope you take this feedback seriously and address the severe lack of training and empathy in your staff.",Domestic,5.0,February 2025,7 February 2025,2.0,1.0,N/A,1.0,1.0,1.0,1.0,5.0
AIR INDIA is not worth your money and time,Tanushri D,London - Mumbai,"well I have travelled with AIR INDIA many times, but it's always a disappointment. trying to give it chance but it's not worth, now I am at LHR waiting for my flight supposed to be at 1PM and just received email that it's been rescheduled to 9.45 PM. no other flights available no seats available at the flight and nothing. now have to seat at the airport for hours with 7 GBP coupen they have provided. i swear not flying with air India again",International,1.0,February 2025,7 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Great Experience,Jet53514231750,New Delhi - Palermo,"Amazing service, Food and on time departure and Arrival, one of the Best Air lines. You can. Surely trust on.
 Thanks for this best Service",International,5.0,February 2025,6 February 2025,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
Horrible Experience- don’t book,Jillian H,New Delhi - Chicago,"Sat on plane for over an hour, then were escorted off the plane apparently due to a mechanical issue (that couldn’t have been discovered before we all had to board??) to then have to go through the arrivals area and back through security. Then had to walk all the way back through the airport to the gate- where we had to go through security AGAIN at the gate?? There was no support for people with children who had to then walk across the airport again at 4am, or the MANY elderly folks on the flight with mobility issues. No wheelchairs prepared, no golf carts. There was no clear communication about what was going on or when a new plane would be arriving. No offer of support for those whose plans have now been extremely disrupted.

When we were able to board the new plane, there was ONE person checking people’s tickets again, even though we’d all been trapped in the gate for the last hour, unable to leave while we waited for the new plane. This caused a crowd surge as everyone was desperately trying to board. Then, once we boarded, we still waited an hour to take off. Once on the plane, there was limited water
And beverages provided, hardly any of the screens worked, and there was a broken overhead bin that needed to be emptied during the flight to be able to close. 

Absolutely unacceptable experience and I will never travel with Air India again. The mechanical issue is one thing- obviously, I don’t want to fly on a broken plane. It was the HORRIBLE processes after the fact that increased delays, irritated passengers, and just intensified the whole experience that is Air India’s fault.",International,1.0,February 2025,6 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bad airline,Vidya J,San Francisco - Chennai (Madras),Terrible customer service. I had to go to the airport 3 times because air India refused to communicate with the air India workers in SFO about my flight and they still couldn’t help me.,International,1.0,February 2025,5 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst Experience,Pradeep,Vancouver - New Delhi,"I and my wife flew Air India Vancouver-Delhi- Vancouver in November 2024 in Business Class. Our seats were either fully or partially broken on both sides of flight. They have very old plane and it seems do not fix broken seats. Even entertainment screen were not working. Before boarding the flight, we were told air india ground director at YVR that our seat is broken and Air India will compensate with 75% of fare within 3 weeks. I filed for compensation and with many emails and escalation, finally Air India compensated with small amount which is lot less that promised at YVR airport. We pay for business class for comfort but nothing ant it was very uncomfortable trip",International,3.0,November 2024,5 February 2025,5.0,1.0,1.0,5.0,1.0,3.0,4.0,3.0
Air India will lose all Vistara platinum customers,Ranjan M,Mumbai - Chennai (Madras),"We have been receiving an international level of service in Vistara. With the merger AirIndia is focused only on profits and abandoned all aspects of customer  satisfaction both on the ground and in the air. They areusing Vistara aircraf, but have reduced level of service as per the low standards o Air India. 
  Platinum customers  like myself have lost access to our points and vouchers accumulated on Vistara. Repeated letters and calls to AI get standard replies as  ""wait for a week and then login"". Well not weeks but months have gone by with no improvement but rather deterioration in customer service. Emirates and alternatives will get  more business.",Domestic,2.0,November 2024,5 February 2025,3.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0
